x,y,showSelected,PANEL,group
0.389381802454687,0.524124628643034,Gadd45a,1,9148
0.369358571474582,0.523368511454473,Lama4,1,3901
0.387611036263167,0.523076188499157,Gja1,1,68
0.390557991076526,0.522680044178483,Hoxa11,1,2020
0.379231528882081,0.522261065802671,Slit3,1,4745
0.381967882354368,0.51899449603515,Emilin1,1,339
0.393751937134977,0.518906395704863,Igfbp6,1,1049
0.385136522789909,0.518906395704863,Sertad4,1,9842
0.635257717901281,0.518906395704863,Pmaip1,1,1161
0.366894514870295,0.51723876496044,Il6st,1,2389
0.374393135609278,0.517013493554387,Prrx2,1,6456
0.390239265710295,0.515485185114697,Man2a1,1,8986
0.386436102465604,0.514911075840913,Clmp,1,8907
0.634557735092374,0.514390961995585,Pkp1,1,9159
0.378717260066096,0.51436381125859,Plscr2,1,9051
0.366813160429702,0.513464907191649,Nr4a2,1,6730
0.60379007124474,0.513251132964508,Gsta4,1,315
0.36932678259291,0.509180006185968,Nfkbie,1,6331
0.390392981684166,0.507969080331434,E430024C06Rik///A130040M12Rik///3930401B19Rik,1,9648
0.631263612229183,0.507969080331434,Vldlr,1,1033
0.604500720059997,0.507405289588426,Hpse,1,6894
0.602271106458037,0.506375422626315,Itga3,1,2715
0.378551832398977,0.504206361970067,Foxc2,1,466
0.606258728871373,0.503612495304321,Sod3,1,915
0.623129213856773,0.503428316392971,Khdrbs3,1,9658
0.606940307590892,0.503190964140359,Thbs1,1,2624
0.596779786286695,0.503059223966371,Fez1,1,9812
0.606579336474019,0.502349073211914,Rragd,1,6159
